#
#  pflu216595cyc 22.5 Reactions link table generated on Mon Sep 10, 2018
#
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2
RXN0-1863	EC-2.6.1.92	EC-2.6.1.87
RXN-15087	EC-2.7.1.191
GDPREDUCT-RXN	EC-1.17.4.1
3.1.2.21-RXN	EC-3.1.2.21
ACETYLORNDEACET-RXN	EC-3.5.1.16
RXN-15161	EC-2.7.1.205
RXN-10082	EC-5.3.3.4
RXN-2	EC-2.1.1.341
DTDPKIN-RXN	EC-2.7.4.6
MANNITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.67
CYSTEINE--TRNA-LIGASE-RXN	EC-6.1.1.16
RXN-16025	EC-2.3.1.51
RXN66-1	EC-1.11.1.6
RXN0-5409	
RXN-10814	EC-2.6.1.1
N-ACYLGLUCOSAMINE-2-EPIMERASE-RXN	EC-5.1.3.8
RXN1G-517	EC-4.2.1.59
TRANS-RXN1G1K-11	
RXN0-7014	EC-2.3.1
RXN-13824	
RXN-17022	EC-2.3.1.51
RXN-14796	EC-1.3.3.6
RXN-9890	EC-3.1.1.45
GLUTCYSLIG-RXN	EC-6.3.2.2
RXN-13697	EC-2.6.1.1
RXN1G-881	EC-1.1.1
GLYCOGEN-BRANCH-RXN	EC-2.4.1.18
RXN0-722	EC-1.17.4.1
RXN1A0-6303	EC-1.3.1
RXN-9537	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN	EC-1.1.2.3
KANAMYCIN-KINASE-RXN	EC-2.7.1.95
RXN-10083	EC-3.1.1.24
RXN-10815	EC-1.13.11.27
RXN-13198	EC-1.1.1.1
RXN-1826	EC-2.4.1.1
RXN-16135	EC-4.2.1.17
RXN-15162	EC-2.7.1.191
OHACYL-COA-DEHYDROG-RXN	EC-1.1.1.35
RXN-15043	EC-2.3.1.51
RXN-11592	EC-2.1.1.177
RXN-7933	EC-3.5.1.16
2.7.10.1-RXN	EC-2.7.10.2	EC-2.7.12.1	EC-2.7.10.1
RXN66-470	EC-1.14.11
RXN-17099	EC-3.5.1.11
RXN-7909	EC-1.5.1
RXN-13826	
RXN-16194	EC-3.4.11.7
DNA-DIRECTED-RNA-POLYMERASE-RXN	EC-2.7.7.6
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
HOMOGENTISATE-12-DIOXYGENASE-RXN	EC-1.13.11.5
3.2.1.17-RXN	EC-3.2.1.17
3.5.2.17-RXN	EC-3.5.2.17
RXN-18777	EC-2.4.1.18
CARBOXYMETHYLENEBUTENOLIDASE-RXN	EC-3.1.1.45
RXN-1801	EC-2.4.1.100
AICARTRANSFORM-RXN	EC-2.1.2.3
ISOCHORSYN-RXN	EC-5.4.4.2
RXN0-7192	EC-6.3.4.15
RXN-11126	EC-6.3.2
RXN-16201	EC-3.4.11.7
RXN-9644	EC-6.2.1.3
CDPREDUCT-RXN	EC-1.17.4.1
RXN-11177	
TRANS-RXN1G1K-10	
RXN-8674	EC-1.4.3.19
RXN-10915	EC-1.1.1.1
RXN-11127	
AMP-DEPHOSPHORYLATION-RXN	EC-3.1.3.5
RXN-15160	EC-2.7.1.205
RXN-7710	EC-2.4.1.18
GCVT-RXN	EC-2.1.2.10
PRIBFAICARPISOM-RXN	EC-5.3.1.16
RXN-11136	EC-3.4.25.2
2.3.1.155-RXN	EC-2.3.1.155
ERYTH4PDEHYDROG-RXN	EC-1.2.1.72
RXN-16631	EC-4.2.1.59
PHOSICITDEHASE-RXN	EC-2.7.11.5
4.1.2.29-RXN	EC-4.1.2.29
RXN-2961	EC-4.4.1.22
OROPRIBTRANS-RXN	EC-2.4.2.10
RXN-11129	EC-1.14.13
RXN-16190	EC-3.4.11.7
RXN-14815	EC-5.1.3
FRUCTOKINASE-RXN	EC-2.7.1.4
RXN-9857	EC-3.1.1.45
RXN-11633	EC-2.1.1.182
MUCONATE-CYCLOISOMERASE-RXN	EC-5.5.1.1
RXN-15165	EC-2.7.1.191
RXN-17785	EC-4.2.1.17
3.4.11.1-RXN	EC-3.4.11.9
RXN-9767	EC-1.14.13
BIOTINLIG-RXN	EC-6.3.4.15
RXN-7669	EC-2.4.1.18
ISPH2-RXN	EC-1.17.7.4
NICONUCADENYLYLTRAN-RXN	EC-2.7.7.18
4.2.1.58-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-7700	EC-1.1.1.1
RXN-1802	EC-2.4.1
RXN-11318	EC-3.5.1.106
RXN-9510	EC-1.5.1.42
R465-RXN	
3.4.11.7-RXN	EC-3.4.11.7
RXN0-747	EC-1.17.4.1
RXN-12171	EC-2.4.1.1
TRYPTOPHAN-AMINOTRANSFERASE-RXN	EC-2.6.1.27
TRANS-RXN1G1K-9	
ATPSYN-RXN	EC-3.6.3.14
PORPHOBILSYNTH-RXN	EC-4.2.1.24
PEPCARBOXYKIN-RXN	EC-4.1.1.49
CHORISMATE-SYNTHASE-RXN	EC-4.2.3.5
TYROSINE--TRNA-LIGASE-RXN	EC-6.1.1.1
RXN-11109	EC-3.6.4.13
RXN-14372	EC-2.4.1.18
RXN-9868	EC-3.1.1.45
UDPNACETYLMURAMATEDEHYDROG-RXN	EC-1.3.1.98
MALEYLACETATE-REDUCTASE-RXN	EC-1.3.1.32
RXN-9533	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
PYRROLINECARBDEHYDROG-RXN	
RXN-9549	EC-3.1.2.14
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	EC-2.1.2.11
PEPTIDE-ASPARTATE-BETA-DIOXYGENASE-RXN	EC-1.14.11.16
RXN-15680	EC-2.5.1.18
RXN-9884	EC-1.13.11
TRANS-RXN0-569	
ALLANTOINASE-RXN	EC-3.5.2.5
UREIDOGLYCOLATE-HYDROLASE-RXN	EC-3.5.1.116
5.2.1.10-RXN	EC-5.2.1.10
RXN-14576	EC-1.3.3.6
RXN-14371	EC-2.4.1.18
RXN0-1401	EC-2.7.4.23
6.3.5.6-RXN	EC-6.3.5.6
RXN-16627	EC-4.2.1.59
RXN-12160	EC-2.1.1.222
3.8.1.11-RXN	EC-3.8.1.11
RXN-10704	EC-4.2.1.17
OHMETHYLBILANESYN-RXN	EC-2.5.1.61
ABC-13-RXN	EC-3.6.3.21
ADPREDUCT-RXN	EC-1.17.4.1
RXN0-5127	EC-2.4
VALINE--TRNA-LIGASE-RXN	EC-6.1.1.9
3.1.11.2-RXN	EC-3.1.11.2
TRANS-RXN-165	EC-2.7.1.191
RXN-2902	EC-1.2.1
TRANS-RXN1G1K-30	
RXN-15006	EC-1.2.1.38
RXN-15173	EC-2.7.1.206
DIENELACHYDRO-RXN	EC-3.1.1.45
3.4.17.11-RXN	EC-3.4.17.11
NUCLEOSIDE-DIP-KIN-RXN	EC-2.7.4.6
3.4.21.92-RXN	EC-3.4.21.92
GLUTAMIDOTRANS-RXN	EC-4.3.2
MANDELATE-RACEMASE-RXN	EC-5.1.2.2
RXN-10061	EC-4.2.1.59
3.4.11.21-RXN	EC-3.4.11.21
RXN-13673	EC-2.5.1.18
TRANS-RXN-113	
RXN0-6385	EC-2.8.1
FOLYLPOLYGLUTAMATESYNTH-RXN	EC-6.3.2.17
CPM-KDOSYNTH-RXN	EC-2.7.7.38
RXN-9387	EC-5.1.99.5
N-ACETYLGLUTPREDUCT-RXN	EC-1.2.1.38
ERYTHRON4PDEHYDROG-RXN	EC-1.1.1.290
RXN-9886	EC-5.5.1.7
RXN0-2361	EC-6.3.2.45
RXN1G-320	EC-4.2.1.59
RXN-22	EC-4.3.2.1
RXN-16558	EC-4.2.1.17
DTDPDEHYDRHAMEPIM-RXN	EC-5.1.3.13
5.4.1.2-RXN	EC-5.4.99.61
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	EC-3.5.2.9
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	EC-1.17.4.1
RIBAZOLEPHOSPHAT-RXN	EC-3.1.3.73
R101-RXN	EC-2.6.1.76
TRANS-RXN1G1K-29	
3.4.21.89-RXN	EC-3.4.21.89
RXN-15164	EC-2.7.1.191
BENZOATE-12-DIOXYGENASE-RXN	EC-1.14.12.10
PABASYN-RXN	EC-2.6.1.85
RXN0-4361	EC-3.1.3.82
RXN-15176	EC-2.7.1.206
L-LACTATE-DEHYDROGENASE-RXN	EC-1.1.1.27
RXN-17880	
R82-RXN	EC-5.3.2.5
RXN-12200	EC-3.6.1.5
RXN-14709	EC-1.14.14.35
RXN-18383	EC-1.3.3.6
RXN-11180	
F16BDEPHOS-RXN	EC-3.1.3.11
RXN-17015	EC-2.3.1.51
RXN-9520	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
NAG1P-URIDYLTRANS-RXN	EC-2.7.7.23
LXULRU5P-RXN	EC-5.1.3.22
IGPSYN-RXN	EC-4.1.1.48
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN	EC-5.1.3.15
R621-RXN	EC-1.14.12.17
3.5.1.88-RXN	EC-3.5.1.88
TRANS-RXN-132	
BIOTIN-CARBOXYL-RXN	EC-6.3.4.14
ARYLESTERASE-RXN	EC-3.1.1.2
RXN-15172	EC-2.7.1.206
GSHTRAN-RXN	EC-2.5.1.18
RXN-7609	EC-3.1.3.5
CITLY-RXN	EC-4.1.3.6
RXN-12193	EC-2.4.1.25
PGPPHOSPHA-RXN	EC-3.1.3.27
GUANYL-KIN-RXN	EC-2.7.4.8
RXN66-477	EC-6.2.1.3
RXN-9885	EC-1.3.1.32
3.1.26.3-RXN	EC-3.1.26.3
RXN-11838	EC-5.4.99.24
RXN-11481	EC-4.2.1.59
RXN0-1862	EC-2.1.2.13
RXN-902	EC-4.2.1.17
ARGSUCCINLYA-RXN	EC-4.3.2.1
TETRAACYLDISACC4KIN-RXN	EC-2.7.1.130
RXN-6263	EC-3.8.1.11
RXN0-6484	EC-3.1.13.5
CITTRANS-RXN	EC-2.8.3.10
RXN-16632	EC-1.3.1.9
RNA-DIRECTED-DNA-POLYMERASE-RXN	EC-2.7.7.49
CITRYLY-RXN	EC-4.1.3.34
RXN1G1K-37	
RXN1G1K-27	
RXN-9634	EC-2.3.1.86	EC-4.2.1.59
RXN-13443	EC-1.1.1.330
TRNA-CYTIDYLYLTRANSFERASE-RXN	EC-2.7.7.72
RXN0-7005	
SPONTPRO-RXN	
RXN-14206	EC-1.14.16.1
PRTRANS-RXN	EC-2.4.2.18
RXN-15635	EC-2.1.2.11
DEPHOSPHOCOAKIN-RXN	EC-2.7.1.24
RXN-17475	EC-4.2.1.17
RXN-13779	EC-1.1.1.370
TRANS-RXN-167A	EC-2.7.1.191
GST-RXN	EC-2.5.1.18
DLACTDEHYDROGNAD-RXN	EC-1.1.1.28
RXN-15175	EC-2.7.1.206
RXN-17887	
RXN-17954	EC-2.7.8.37
RXN-11128	EC-1.14.13.195
1.14.11.18-RXN	EC-1.14.11.18
RXN0-6373	EC-1.1.5.2
RXN-11179	
RXN-17092	
RXN-9657	EC-1.3.1.9
RXN-16557	EC-1.3.8.9
RXN-10660	EC-4.2.1.59
RXN-13907	EC-1.14.16.1
DIAMINOPIMDECARB-RXN	EC-4.1.1.20
UDPREDUCT-RXN	EC-1.17.4.1
RXN0-6372	
2.1.1.130-RXN	EC-2.1.1.130
3.6.3.17-RXN	EC-3.6.3.17
THIAZOLSYN3-RXN	EC-2.7.1.50
RXN-12365	EC-1.18.1.3
RXN1G-1053	EC-1.1.1
RXN1G1K-26	
ABC-3-RXN	EC-3.6.3.21
RXN66-569	EC-1.14.16.1
UROCANATE-HYDRATASE-RXN	EC-4.2.1.49
RXN-6341	EC-6.3.2.17
RXN-16623	EC-4.2.1.59
RXN-9380	EC-4.1.1.96
TRANS-RXN0-237	
GLUTRACE-RXN	EC-5.1.1.3
ANTHRANSYN-RXN	EC-4.1.3.27
RXN-8765	EC-1.3.1.106
RXN-18364	
TRANS-RXN-320	EC-3.6.3.17
RXN-13451	EC-1.3.8.9
2.1.1.63-RXN	EC-2.1.1.63
UDPKIN-RXN	EC-2.7.4.6
RXN0-7022	EC-6.3.2.45
RXN0-17	EC-2.7.1.192
2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	EC-1.2.1
RXN-11178	
DIAMINOPIMEPIM-RXN	EC-5.1.1.7
RXN-16134	EC-1.3.3.6
RXN-14710	
DEHYDDEOXGALACTKIN-RXN	EC-2.7.1.178	EC-2.7.1.58
KDPGALDOL-RXN	EC-4.1.2.55	EC-4.1.2.14
TRANS-RXN1G1K-54	
RXN-16687	
GLYC3PDEHYDROGBIOSYN-RXN	EC-1.1.1.94
4.2.1.61-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
2.7.7.13-RXN	EC-2.7.7.13
RXN-6264	EC-3.8.1.9	EC-3.8.1.10
ENOYL-COA-DELTA-ISOM-RXN	EC-5.3.3.8
RXN0-2161	EC-6.1.1.11
RXN-13908	EC-4.2.1.96
FERREDOXIN--NAD+-REDUCTASE-RXN	EC-1.18.1.3
RXN-16540	EC-1.3.8.9
PHOSPHONOACETALDEHYDE-HYDROLASE-RXN	EC-3.11.1.1
RXN-17886	
DNA-DIRECTED-DNA-POLYMERASE-RXN	EC-2.7.7.7
RXN-14148	EC-1.1.1.369
RXN-7605	EC-2.1.1
HYDROXYPYRUVATE-REDUCTASE-RXN	EC-1.1.1.81
RXN-9888	EC-1.13.11
RXN-17824	EC-2.1.1.63
ASPARAGINE--TRNA-LIGASE-RXN	EC-6.1.1.22
3.5.1.27-RXN	EC-3.5.1.88
TRANS-RXN1G1K-28	
SERINE--TRNA-LIGASE-RXN	EC-6.1.1.11
RXN-7908	EC-4.2.1.96
CHLOROMALERED-RXN	EC-1.3.1.32
RXN-9557	EC-4.2.1.59
TRANS-RXN1G1K-53	
RIBULP3EPIM-RXN	EC-5.1.3.1
GDPKIN-RXN	EC-2.7.4.6
RXN-15178	EC-2.7.1.206
CHORISMATEMUT-RXN	EC-5.4.99.5
CYCPHOSDIESTER-RXN	EC-3.1.4.16
DTMPKI-RXN	EC-2.7.4.12	EC-2.7.4.13	EC-2.7.4.9
RXN-14131	EC-1.3.8.8
RXN0-5260	EC-1.1.5.3
RXN-12367	EC-2.4.2.43
RXN-14116	EC-1.2.1.88
L-ASPARTATE-OXID-RXN	EC-1.4.3.16
ACETALD-DEHYDROG-RXN	EC-1.2.1.10
XANPRIBOSYLTRAN-RXN	EC-2.4.2.22
RXN-17890	EC-2.3.2.8
RXN-14227	EC-3.1.3.5
RXN0-7066	
TRANS-RXN1G1K-27	
RXN-18365	
RXN-16561	EC-2.3.1.155
RXN-11477	EC-4.2.1.59
RXN-15025	EC-2.3.1
RXN-16118	EC-2.3.1.51
DTDPGLUCOSEPP-RXN	EC-2.7.7.24
RIBONUCLEOSIDE-DIP-REDUCTI-RXN	EC-1.17.4.1
RXN0-5289	EC-1.1.1
HOMOCYSMETB12-RXN	EC-2.1.1.13
RXN-15184	EC-2.7.1.193
BTUR2-RXN	EC-2.5.1.17
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	EC-1.1.1.31
RXN-17019	EC-2.3.1.51
RXN0-6554	EC-1.3.5.2
HISTIDINE-AMMONIA-LYASE-RXN	EC-4.3.1.3
RXN-13179	EC-1.1.1.262
GLUCONOLACT-RXN	EC-3.1.1.17
ARGINYLTRANSFERASE-RXN	EC-2.3.2.8
RXN1G-445	EC-2.3.1.41
RXN-15745	EC-1.1.5.3
LONG-CHAIN-ACYL-COA-DEHYDROGENASE-RXN	EC-1.3.8.8
TRANS-RXN1G1K-26	
RXN-17113	EC-1.3.3.6
OROTPDECARB-RXN	EC-4.1.1.23
SAICARSYN-RXN	EC-6.3.2.6
RXN-9781	EC-5.1.99.5
1.1.1.262-RXN	
GLYRIBONUCSYN-RXN	EC-6.3.4.13
RXN-12391	EC-2.4.1.25
RXN0-3521	EC-2.4.2.53
NADPH-DEHYDROGENASE-FLAVIN-RXN	EC-1.5.1.30
RXN-17889	EC-2.3.2.8
RXN-9523	EC-2.3.1.179	EC-2.3.1.41
RXN-8447	
RXN-14278	EC-1.3.8.7
RXN-14178	EC-5.3.99.11
4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	EC-1.14.13.2
COBALADENOSYLTRANS-RXN	EC-2.5.1.17
ALARACECAT-RXN	EC-5.1.1.1
RXN-14160	EC-3.1.4.46
3.5.1.98-RXN	EC-3.5.1.98
RXN-11598	EC-2.1.1.193
RXN-15740	EC-1.1.5.3
ALDOSE1EPIM-RXN	EC-5.1.3.3
POLYPHOSPHATE-KINASE-RXN	EC-2.7.4.1
RXN-14264	EC-1.3.8.4
TRANS-RXN-122A	
INORGPYROPHOSPHAT-RXN	EC-3.6.1.1
5.3.3.10-RXN	EC-5.3.3.10
RXN-15446	EC-1.1.99
QUINOPRIBOTRANS-RXN	EC-2.4.2.19
RXN-17888	EC-2.3.2.8
RXNQT-4191	EC-3.1.3.100
MALATE-DEH-RXN	EC-1.1.1.37
RXN-16615	EC-2.3.1.179
RXN0-6367	EC-1.5.1.50
RXN-14816	EC-5.1.3
RXN-14112	EC-3.1.4.16
RXN-14229	EC-1.3.8.7
RXN0-4342	EC-2.7.7.70
RXN-15174	EC-2.7.1.206
RXN-14025	EC-3.1.3.5
DADPKIN-RXN	EC-2.7.4.6
RXN0-5254	
2.7.8.24-RXN	EC-2.7.8.24
RXN-9658	EC-1.3.1.9
HYDROXY-MANDELATE-RACEMASE-RXN	EC-5.1.2.2
RXN-9772	EC-1.5.99
RXN-11213	EC-1.2.1.27
2PGADEHYDRAT-RXN	EC-4.2.1.11
RXN1G1K-25	
DEPHOSICITDEHASE-RXN	EC-3.1.3
RXN-17891	EC-2.3.2.8
RXN0-5121	EC-2.7.1
RXN3O-1803	EC-2.3.1.179
RXN-8340	EC-4.1.99.22
4OH2OXOGLUTARALDOL-RXN	EC-4.1.3.16
TRANS-RXN1G1K-52	
RXN0-5257	
HYDROXYLAMINE-REDUCTASE-NADH-RXN	EC-1.7.1.10
R344-RXN	EC-2.5.1.17
PYRIMSYN1-RXN	EC-4.1.99.17
RXN-15185	EC-2.7.1.193
MALEATE-ISOMERASE-RXN	EC-5.2.1.1
3.6.1.41-RXN	EC-3.6.1.41
PANTOTHENATE-KIN-RXN	EC-2.7.1.33
RXN-7563	EC-1.4.99.6
RXN-14262	EC-1.3.8.7
RXN-7836	EC-5.3.3.8
RXN-14964	EC-3.1.3.21
RXN-18461	EC-1.3.3.6
RXN-9527	EC-2.3.1.179	EC-2.3.1.41
RXN0-5293	EC-1.2.1.16
RXN-15710	EC-5.4.99.62
RXN-11638	EC-2.1.1.199
RXN-15849	
RXN-18086	EC-1.14.14.34
GLYCPDIESTER-RXN	EC-3.1.4.46
RXN-9889	EC-5.5.1
IMIDAZOLONEPROPIONASE-RXN	EC-3.5.2.7
RXN-12609	EC-5.3.99.10
TRANS-RXN1G1K-25	
GLYCEROL-KIN-RXN	EC-2.7.1.30
RXN0-5402	
IMPCYCLOHYDROLASE-RXN	EC-3.5.4.10
RXN-15850	
HEMN-RXN	EC-1.3.98.3
RXN-9648	EC-2.3.1.86
RXN-17155	EC-2.3.1
1.3.99.16-RXN	EC-1.3.99.16
ISOCITDEH-RXN	EC-1.1.1.42
RXN0-6359	EC-2.8.1.1
RXN-17729	EC-2.3.1.51
PYRAZIN-RXN	EC-3.5.1.4
RXN-13615	EC-1.3.8.7
GART-RXN	EC-2.1.2.2
GLUCOSE-1-PHOSPHAT-RXN	EC-3.1.3.10
RXN-9951	
RXN-14771	EC-1.3.3.6
2.7.13.3-RXN	EC-2.7.13.3
1.2.1.27-RXN	EC-1.2.1.27
RXN1G-287	EC-1.1.1
RXN1G1K-24	
GLYCINE--TRNA-LIGASE-RXN	EC-6.1.1.14
RXN-17955	EC-3.6.1.63
RXN-8642	
OHBUTYRYL-COA-EPIM-RXN	EC-5.1.2.3
RXN-17900	
RXN-9531	EC-2.3.1.179	EC-2.3.1.41
GLUC1PADENYLTRANS-RXN	EC-2.7.7.27
THIOSULFATE-SULFURTRANSFERASE-RXN	EC-2.8.1.1
DGDPKIN-RXN	EC-2.7.4.6
RXN-11734	EC-1.3.8.7
GDPPYPHOSKIN-RXN	EC-2.7.6.5
RXN-15177	EC-2.7.1.206
HEXOKINASE-RXN	EC-2.7.1.1
RXN-14073	EC-3.1.4.46
DHHB-METHYLTRANSFER-RXN	EC-2.1.1.64
RXN-8342	EC-2.8.1.12
DTDPGLUCDEHYDRAT-RXN	EC-4.2.1.46
RXN-12994	EC-1.1.1.330
GLU6PDEHYDROG-RXN	EC-1.1.1.49
RXN-9774	EC-4.1.1.89
GAMMA-GLUTAMYLTRANSFERASE-RXN	EC-2.3.2.2
GTPPYPHOSKIN-RXN	EC-2.7.6.5
5.1.2.3-RXN	EC-5.1.2.3
R342-RXN	EC-6.6.1.2
PANTOATE-BETA-ALANINE-LIG-RXN	EC-6.3.2.1
RXN-9652	EC-2.3.1.86
TRANS-RXN1G1K-51	
RXN-9240	EC-2.1.1.222
RXN0-5144	EC-2.1.1.61
TRANS-RXN-167	EC-2.7.1.193
GKI-RXN	EC-2.7.1.165
RXN-16653	EC-1.2.1.3
PREPHENATEDEHYDRAT-RXN	EC-4.2.1.51
DIHYDROOROT-RXN	EC-3.5.2.3
1PFRUCTPHOSN-RXN	EC-2.7.1.56
R83-RXN	EC-3.1.3.87
LEUCYLTRANSFERASE-RXN	EC-2.3.2.6
AICARSYN-RXN	EC-4.3.2.2
RXN-8770	EC-3.1.3.73
2.3.2.13-RXN	EC-2.3.2.13
RXN-9385	EC-2.7.7
TRANS-RXN1G1K-24	
RXN-16227	
RXN66-336	EC-2.3.2.2
RXN-12726	EC-2.5.1.47
RXN1G-499	EC-2.3.1.41
RXN-12198	EC-3.6.1.6
GSADENYLATION-RXN	EC-2.7.7.42
RXN-17783	EC-1.3.8
RXN-10857	EC-4.1.2.25
RXN-17763	EC-1.1.1
ACETOLACTSYN-RXN	EC-2.2.1.6
CHITIN-DEACETYLASE-RXN	EC-3.5.1.41
RXN0-5189	EC-3.2.2.20
4.99.1.7-RXN	EC-4.99.1.7
4.2.1.41-RXN	EC-4.2.1.41
RXN0-2461	EC-2.7.1.194
RXN-16625	EC-2.3.1.179
AMPSYN-RXN	EC-4.3.2.2
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	EC-1.14.13
ALDHDEHYDROG-RXN	EC-1.2.1.3
ACSERLY-RXN	EC-2.5.1.47
RXN-9659	EC-1.3.1.9
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	EC-2.1.2.9
GPPSYN-RXN	EC-2.5.1.1
RXN-11834	EC-5.4.99.20
RXN-8344	EC-2.7.7.75
RXN-17014	EC-2.3.1.51
RXN-10059	EC-2.3.1.41
RXN-18092	EC-2.3.2.2
3.2.2.24-RXN	EC-3.2.2.24
H2NEOPTERINALDOL-RXN	EC-4.1.2.25
H2NTPEPIM-RXN	EC-5.1.99.7
NUCLEOTIDE-PYROPHOSPHATASE-RXN	EC-3.6.1.9
RXN1G1K-23	
RXN-14803	EC-2.3.1.16
RXN-4142	EC-1.2.1.3
ARGSUCCINSYN-RXN	EC-6.3.4.5
RXN-15094	EC-2.7.1.206
RXN-14136	EC-3.1.4.46
RXN1G1K-36	
RXN-9789	EC-2.7.7.73
RXN-14091	EC-3.1.4.16
COBINPGUANYLYLTRANS-RXN	EC-2.7.7.62
CDPKIN-RXN	EC-2.7.4.6
3.2.1.37-RXN	EC-3.2.1.37
ENOYL-ACP-REDUCT-NADPH-RXN	EC-1.3.1.39	EC-1.3.1.104	EC-2.3.1.86	EC-2.3.1.85	EC-1.3.1.10
RXN-16688	
AGMATIN-RXN	EC-3.5.3.11
RXN-9891	EC-1.3.1.32
ISOCIT-CLEAV-RXN	EC-4.1.3.1
RXN-9516	EC-2.3.1.179	EC-2.3.1.41
CARBOXY-CISCIS-MUCONATE-CYCLASE-RXN	EC-5.5.1.5
NADH-DEHYDROG-A-RXN	EC-1.6.5.3
RXN-17133	EC-3.9.1.3
RXN-16656	EC-1.2.1.3
RXN0-5248	
R341-RXN	EC-6.3.5.9
ACETOOHBUTSYN-RXN	EC-2.2.1.6
RXN1G1K-22	
RXN-9660	EC-1.3.1.9
RXN0-5244	
RXN-11479	EC-2.3.1.179
3.4.24.57-RXN	EC-3.4.24.57
RXN-10	EC-6.3.4.5
RXN-6601	EC-2.3.2.2
RXN-12540	
GALACTARDEHYDRA-RXN	EC-4.2.1.42
TRANS-RXN1G1K-50	
RXN-17883	
3.4.11.5-RXN	EC-3.4.11.5
RXN-15166	EC-2.7.1.208
RXN-14774	EC-2.3.1.16
RXN-10851	
3.1.4.14-RXN	EC-3.1.4.14
LUMAZINESYN-RXN	EC-2.5.1.78
RXN-17882	
RXN-17792	EC-1.3.8
RXN-12473	EC-2.8.1.11
RXN0-2522	EC-2.7.1.195
ARGDECARBOX-RXN	EC-4.1.1.19
RXN-7592	
SERINE-O-ACETTRAN-RXN	EC-2.3.1.30
PRPPSYN-RXN	EC-2.7.6.1
RXN-9157	EC-2.3.2.2
RXN-9632	EC-2.3.1.41
RXN-11181	EC-1.3.3.11
2.7.8.25-RXN	EC-2.4.2.52
RXN-15346	
AMYLOMALT-RXN	EC-2.4.1.25
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	EC-2.1.1.201
RXN-2881	EC-2.1.2
RXN-17808	EC-1.2.1.3
QOR-RXN	EC-1.6.5.5
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	EC-3.2.2.9
RXN-10018	
RXN-14883	
1.6.99.5-RXN	EC-1.6.5.11
RXN-9310	EC-4.2.99.20
RXN-7594	
RXN-14065	EC-3.2.2.10
RXN1G-460	EC-2.3.1.179
RXN-18584	EC-1.10.2.2
UROGENIIISYN-RXN	EC-4.2.1.75
4-HYDROXYPROLINE-EPIMERASE-RXN	EC-5.1.1.8
CELLULOSE-SYNTHASE-UDP-FORMING-RXN	EC-2.4.1.12
RXN-10017	
RXN1F-20	EC-6.6.1.1
NADH-DEHYDROGENASE-QUINONE-RXN	EC-1.6.5.11
RXN-10700	EC-2.3.1.16
XYLULOKIN-RXN	EC-2.7.1.17
12-OXOPHYTODIENOATE-REDUCTASE-RXN	EC-1.3.1.42
GLUCONOKIN-RXN	EC-2.7.1.12
RXN-12621	
RXN-8673	EC-1.4.3.19
3.2.2.21-RXN	EC-3.2.2.21
RXN-10758	EC-3.5.1.101
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	EC-2.7.7.19
RXN-18362	
ENOYL-ACP-REDUCT-NADH-RXN	EC-1.3.1.9
RXN-15830	EC-1.9.3.1
RXN-5721	
RXN0-7078	EC-2.3.1
RXN-17013	EC-2.3.1.51
RXN-18581	
DETHIOBIOTIN-SYN-RXN	EC-6.3.3.3
PROTOPORGENOXI-RXN	EC-1.3.3.4
RXN66-472	EC-1.2.1.3
RXN-12753	
ARGININE--TRNA-LIGASE-RXN	EC-6.1.1.19
TRANS-RXN1G1K-49	
FUMHYDR-RXN	EC-4.2.1.2
CYTOCHROME-C-OXIDASE-RXN	EC-1.9.3.1
SUCCARGDIHYDRO-RXN	EC-3.5.3.23
RXN-3482	
METHELENE-THMPT-OXI-RXN	EC-1.5.98.2
RIBOSYLHOMOCYSTEINASE-RXN	EC-4.4.1.21
METHYLGLUTACONYL-COA-HYDRATASE-RXN	EC-4.2.1.18
RXN0-6485	EC-3.1.26.12
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	EC-1.14.13
2.3.1.118-RXN	EC-2.3.1.118
2.6.1.18-RXN	EC-2.6.1.18
